filename,rbg
F4S1 (R ).jpg,240.33
F5S2 ( R ).jpg,240.33
F2S1 ( R ).jpg,240.33
F0S1 ( L ).jpg,240.0
F3S1 ( L ).jpg,240.33
F5S1 ( L ).jpg,239.0
F5S3 ( R ).jpg,240.33
F3S1 ( R ).jpg,237.33
F0S2 ( R ).jpg,240.0
F3S2 ( L ).jpg,232.0
F1S1 ( L ).jpg,240.33
F5S2 ( L ).jpg,240.33
F3S2 ( R ).jpg,173.67
F5S3 ( L ).jpg,240.33
F1S1 ( R ).jpg,240.33
F2S1 ( L ).jpg,221.67
F1S2 ( R ).jpg,240.33
F4S1 ( L ).jpg,240.33
F2S2 ( R ).jpg,205.33
F2S2 ( L ).jpg,238.0
F0S1 ( R ).jpg,240.33
F0S2 ( L ).jpg,241.0
F4S2 ( R ).jpg,216.33
F5S1 ( R ).jpg,239.0
F1S2 ( L ).jpg,240.33
F4S2 ( L ).jpg,241.33
